texto,vowel_density
"O boneco ate recomendo , so que a pilha estava totalmente vazada dentro da caixa e estava uma nojeira. E quanto a compra nas Lojas Americanas eu recomendo,  deveriam abrir as caixas antes de entregar o produto pois se tivessem feito isso teriam trocado as pilhas com certeza.",0.4798206278026906
Quase 2mil reais num copo? preço absurdo                                                                         .,0.46875
"muito bom, recomendo, excelente sinal, só um pouco difícil de instalar",0.45614035087719296
"funciona de acordo com o que eu esperava, muito bom.",0.5365853658536586
Gostei atendeu minhas expectativas.. a entrega entao.. chegou mais rápido do que eu esperava.. parabéns,0.4939759036144578
tudo ok entrega rápida adoreiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,0.8723404255319149
como posso avaliar algo que nao recebi ainda  se me pedem avaliaçao onde está o meu produto  quem o recebeu,0.5465116279069767
"Produto não é original.Cheiro de alcool, péssima fixação, produto entregue pela loja Madelein.",0.5
bons produtos entrega demorou mas recomendo pela qualidade dos produtos,0.43548387096774194
"Produto de qualidade boa, tamanha adequado, recomentdo",0.5
O botao de rotação esquenta e nao permite que a escova fique ligada ate mesmo por pouco tempo. Quero devolver.,0.5280898876404494
Bom produto. Chegou no prazo. Só achei o material um pouco fraco,0.49019607843137253
"COMPREI ESTE APARELHO, MAIS ESTAVA COM DEFEITO, A BATERIA ESTAVA AQUECENDO MUITO,  E DESISTIR DA COMPRA.SENDO QUE A  EMPRESA JÁ REEMBOLSOU.",0.5
"Produto bom entregue no prazo estipulado, recomendo loja",0.4583333333333333
Gostei muito desse aspirador. Tenho do grande e me surpreendi com esse. Aspira super bem.,0.4444444444444444
Comprei 4 pros meus filhos e 2 para minhas cadelinhas Lilly e Nyee brincarem.. todos amaram.,0.4027777777777778
"A entrega veio antes do esperado.  O produto é lindo, atendeu as expectativas super recomendo.",0.4868421052631579
Estou entrando em contato com americanas meu ventilador veio faltando peças e está complicado falar aí.,0.47126436781609193
minha filha adorou o produto.oooooooooooooooooooooooooooo,0.7692307692307693
"Produto muito bom, acabamento perfeito, única ressalva foi que chegou com a borracha da alça superior estragada, talvez pelo transporte. Não quis fazer a troca por estar precisando com urgência dele.",0.45121951219512196
produto excelente - somente o fio que liga na tomada de força deveria ser maior.,0.5
"O celular é maravilhoso, mas a câmera frontal deixa a desejar, não foca, é bem ruim, mas em compensação a de traz é perfeita.",0.4742268041237113
Boa noite ! Gostaria de salientar que o produto veio sem um dos parafusos que fixam as rodinhas traseiras laterais. Tive que improvisar um outro parafuso para que meu neto pudesse usar o presente deste Natal.  Atenciosamente:,0.4891304347826087
"Ótimo produto, excelente qualidade, possui ótimo corte e encaixes!",0.509090909090909
Ainda não recebi o produto. Não posso avaliá-lo ainda pois o prazo de entrega não foi respeitado.,0.5384615384615384
eu ainda não recebi a cama só posso dizer alguma coisa quando usar o produto ok,0.53125
"Adorei o brinquedo. Mas poderia melhorar o aspecto na entrega, pois quando recebi estava sujo com pó. Então fica a dica.",0.5
Comprei o aparelho da cor dourada e a loja me mandou um preto.recomendo o aparelho mais não recomendo a loja,0.5113636363636364
"ÓTIMO PRODUTO PRA QUEM APENAS VAI USAR PRA FUNÇÕES MAIS BÁSICAS ,A  ENTREGA FOI SUPER RÁPIDA CHEGOU MUITO ANTES DO PROGRAMADO PARABÉNS A AMERICANAS .",0.47540983606557374
"Comprei esse produto para presentear, quando dei de presente já havia passado 7 dias da compra e não poderia mais reclamar com as lojas americanas, Acontece que funcionou 3 dias, depois disso parou, ligava e desligava sozinho, não mudava as estações... Reclamei então com o fabricante e estou devolvendo, foram atenciosos. Vamos ver o que vai acontecer daqui pra frente.....",0.48322147651006714
me arrependi de ter comprado o acabamento mal feito dos garfos corta a boca. não compre,0.4507042253521127
"Ela brinca muito. Ela ficou bastante ansiosa na espera deste item.. E quando chegou, acredito que a satisfez pois brincou até tarde da noite.  O diário é cheio de funções, e tem um acabamento de brinquedo mesmo.",0.5089820359281437
A batedeira é maravilhosa!!!!!  Amei o produto e super recomendo :D,0.52
Aparelho muito funcional até dar defeito 5 dias após a entrega. 3 usos apenas. Desapontada,0.5
Transação fácil e entrega antes do prazo. Muito bom!,0.4523809523809524
Ótimo produto recomendo pra compra muito bom............................................. ..... ...... .......,0.4473684210526316
"Não pega Wi-Fi , nem Bluetooth, trava muito , loja não entra em contato ignora qualquer tipo de tentativa de entrar em contato , não comprem péssimo , gastei meu dinheiro atoa o jeito é ir no procon",0.4838709677419355
Estou feliz com a compra. Entrega dentro do prazo e produto de excelente qualidade. Recomendo.,0.45454545454545453
"O produto é robusto e mantém a temperatura estável. Nos primeiros dias é bom aquecer em local bem ventilado, pois as resistências contém óleo e sai um pouco de fumaça o que é normal. Em compensação o potenciômetro de regulagem é uma porcaria e só dá indícios de aquecimento depois dos 3/4 de volta. O que causa muita imprecisão. De resto a manta é boa e serve para coisas que não Necessitem um controle rigoroso.",0.49240121580547114
"Gente, esse copo tá muito barato. Qualquer um pode comprar. Depois que eu comprei ele minha vida nunca mais foi a mesma.",0.49473684210526314
muito prático e confiável comprar com americanas.com,0.4444444444444444
"A boneca é linda, só a entrega que demorou, mas valeu muito a compra!",0.5283018867924528
"Comprei ano passado e já vou trocar. Não tem conforto nenhum! Péssima qualidade!!!! Assento afundou!!! Saiu um ferro do estofado, podia ter machucado alguém. Se bater o dedinho....aiiiiiii!!!!! Estofamento péssimo! Não recomendo!",0.5
"Ótimo produto, porém embalagem péssima. O ""saco"" que veio o tênis chegou todo rasgado por causa da pessima embalagem.",0.4787234042553192
"chegou rápido, e ótima qualidade, só que deveria chamar coleção meu malvado favorito e não os minions, pois dá a impressão de que é uma coletânea só dos minions.",0.5193798449612403
"Produto muito bom, smartphone que cumpre as necessidades. Sem muitas funções, mas com o essencial. Recomendo para quem quer economizar e investir em um produto de qualidade.",0.4507042253521127
O relógio é muito ruim.  Sugiro interromper a venda. O aparelho é bem fraco e não recomendo,0.5138888888888888
ótimo pratico e mantem o cafe quente por mais de 2 horas,0.4772727272727273
"O forno a faz é extremamente  baixo...dificil de acessar,tem que sentar no chão...o forno eletrico  é pequeno. Os demais ok.",0.48936170212765956
Produto excelente superou minhas espectativas bonito robusto e muito fácil de usar suas funções,0.4634146341463415
Excelente produto. Chegou conforme informado.  Excelente produto. Chegou conforme informado.  Excelente produto. Chegou conforme informado.  Excelente produto. Chegou conforme informado.  Excelente produto. Chegou conforme informado.,0.4358974358974359
Produto entrregue antes do prazo. Mas de forma imcompleta. E ninguém da atenção para resolver o problema. Ja mandei muitos e-mails e demoram muitonpara resolver o problema. Muito triste com a loja que nao tem um telefone para falar sobre isso e por e-mail simplismente não respondem mais,0.45726495726495725
Gostei muito do produto! A entrega foi conforme o combinado. Eu recomendo!,0.5
Excelente custo-benefício!... Aparelho completo e de muita qualidade!,0.5
"A TV chegou em minha casa dia 21/12/2017 liguei todos os fios e td certo, chegou hj dia 01/01/2018 a TV não quer maos ligar, nem acende o led, lamentável acaba a confiança na marca!!! Não recomendo.",0.4740740740740741
"Produto entregue antes do prazo previsto, produto bom, facil de montar e desmontar.",0.4117647058823529
